"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-10","0.05",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-11","0.06",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-12","0.35",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-13","0.00",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-14","0.69",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-15","0.19",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-16","0.00",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-17","0.00",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-18","0.14",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-19","0.41",",,N"
"US1INHY0016","NEW CASTLE 3.2 W, IN US","39.9179","-85.425","319.4","2015-07-20","0.00",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-10","0.02",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-11","0.05",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-12","0.71",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-13","0.00",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-14","0.79",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-15","0.06",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-16","0.00",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-17","0.00",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-18","0.34",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-19","0.01",",,N"
"US1INHN0026","GREENFIELD 1.5 S, IN US","39.7713","-85.7739","272.2","2015-07-20","0.00",",,N"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72517","-86.28168","241.1","2015-07-10","0.03",",,W,2400"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72517","-86.28168","241.1","2015-07-11","0.01",",,W,2400"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72517","-86.28168","241.1","2015-07-12","1.49",",,W,2400"
