"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1AZCN0139","FLAGSTAFF 0.8 NE, AZ US","35.1966","-111.639","2135.7","2016-12-22","0.92",",,N",,
"US1AZCN0139","FLAGSTAFF 0.8 NE, AZ US","35.1966","-111.639","2135.7","2016-12-23","0.45",",,N",,
"US1AZCN0139","FLAGSTAFF 0.8 NE, AZ US","35.1966","-111.639","2135.7","2016-12-24","0.00","T,,N",,
"US1AZCN0139","FLAGSTAFF 0.8 NE, AZ US","35.1966","-111.639","2135.7","2016-12-25","0.81",",,N",,
"US1AZCN0139","FLAGSTAFF 0.8 NE, AZ US","35.1966","-111.639","2135.7","2016-12-26","0.05",",,N","0.1",",,N"
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-20","0.00",",,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-21","0.00",",,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-22","1.00",",,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-23","0.50",",,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-24","0.00","T,,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-25","0.26",",,N","0.3",",,N"
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-26","0.00",",,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-27","0.00",",,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-28","0.00",",,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-29","0.00",",,N",,
"US1AZCN0107","FLAGSTAFF 1.2 ENE, AZ US","35.1952","-111.6293","2100.7","2016-12-30","0.00",",,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-20","0.00",",,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-21","0.00",",,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-22","1.04",",,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-23","0.52",",,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-24","0.00","T,,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-25","0.79",",,N","0.9",",,N"
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-26","0.02",",,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-27","0.00",",,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-28","0.00",",,N",,
"US1AZCN0019","FLAGSTAFF 3.5 E, AZ US","35.1926","-111.5874","2097.0","2016-12-29","0.00",",,N",,
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-20","0.00",",,N",,
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-21","0.00",",,N",,
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-22","1.25",",,N",,
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-23","0.74",",,N",,
