"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-24","0.01",",,N",,
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-25","0.66",",,N","1.3",",,N"
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-26","0.00","T,,N","0.0",",,N"
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-27","0.00",",,N",,
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-28","0.00",",,N",,
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-29","0.00",",,N",,
"US1AZCN0113","FLAGSTAFF 2.6 SW, AZ US","35.1639","-111.6833","2113.5","2016-12-30","0.00",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-20","0.00",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-21","0.00",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-22","0.96",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-23","0.52",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-24","0.71",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-25","0.00",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-26","0.00",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-27","0.00",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-28","0.00",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-29","0.00",",,N",,
"US1AZCN0014","FLAGSTAFF 3.4 NE, AZ US","35.2191","-111.6013","2124.5","2016-12-30","0.00",",,N",,
"US1AZCN0059","FLAGSTAFF 1.6 NNE, AZ US","35.2131","-111.6443","2142.1","2016-12-20","0.00","T,,N",,
"US1AZCN0059","FLAGSTAFF 1.6 NNE, AZ US","35.2131","-111.6443","2142.1","2016-12-21","0.00",",,N",,
"US1AZCN0059","FLAGSTAFF 1.6 NNE, AZ US","35.2131","-111.6443","2142.1","2016-12-22","1.06",",,N",,
"US1AZCN0059","FLAGSTAFF 1.6 NNE, AZ US","35.2131","-111.6443","2142.1","2016-12-23","0.67",",,N",,
"US1AZCN0059","FLAGSTAFF 1.6 NNE, AZ US","35.2131","-111.6443","2142.1","2016-12-24","0.00",",,N",,
"US1AZCN0059","FLAGSTAFF 1.6 NNE, AZ US","35.2131","-111.6443","2142.1","2016-12-25","0.70",",,N","0.7",",,N"
"US1AZCN0059","FLAGSTAFF 1.6 NNE, AZ US","35.2131","-111.6443","2142.1","2016-12-28","0.00",",,N",,
"US1AZCN0054","FLAGSTAFF 0.9 NNE, AZ US","35.2006","-111.6424","2133.6","2016-12-20","0.00",",,N",,
"US1AZCN0054","FLAGSTAFF 0.9 NNE, AZ US","35.2006","-111.6424","2133.6","2016-12-21","0.00",",,N",,
"US1AZCN0054","FLAGSTAFF 0.9 NNE, AZ US","35.2006","-111.6424","2133.6","2016-12-22","0.00",",,N",,
"US1AZCN0054","FLAGSTAFF 0.9 NNE, AZ US","35.2006","-111.6424","2133.6","2016-12-23","0.00",",,N",,
"US1AZCN0054","FLAGSTAFF 0.9 NNE, AZ US","35.2006","-111.6424","2133.6","2016-12-27","0.00",",,N",,
"US1AZCN0054","FLAGSTAFF 0.9 NNE, AZ US","35.2006","-111.6424","2133.6","2016-12-28","0.00",",,N",,
"US1AZCN0054","FLAGSTAFF 0.9 NNE, AZ US","35.2006","-111.6424","2133.6","2016-12-29","0.00",",,N",,
"US1AZCN0143","FLAGSTAFF 1.5 WSW, AZ US","35.1848","-111.6763","2133.0","2016-12-20","0.00",",,N",,
"US1AZCN0143","FLAGSTAFF 1.5 WSW, AZ US","35.1848","-111.6763","2133.0","2016-12-21","0.00",",,N",,
"US1AZCN0143","FLAGSTAFF 1.5 WSW, AZ US","35.1848","-111.6763","2133.0","2016-12-22","1.14",",,N",,
"US1AZCN0143","FLAGSTAFF 1.5 WSW, AZ US","35.1848","-111.6763","2133.0","2016-12-30","0.00",",,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-20","0.00",",,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-21","0.00",",,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-22","1.20",",,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-23","0.06",",,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-24","0.58",",,N","0.6",",,N"
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-25","0.35",",,N","0.4",",,N"
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-26","0.00","T,,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-27","0.00",",,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-28","0.00",",,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-29","0.00",",,N",,
"US1AZCN0066","FLAGSTAFF 2.0 ENE, AZ US","35.2044","-111.6187","2094.3","2016-12-30","0.00",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-20","0.00",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-21","0.00",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-22","1.16",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-23","0.65",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-24","0.00","T,,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-25","0.93",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-26","0.03",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-27","0.00",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-28","0.00",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-29","0.00",",,N",,
"US1AZCN0033","FLAGSTAFF 2.2 SW, AZ US","35.1704","-111.6815","2146.7","2016-12-30","0.00",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-20","0.00",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-21","0.00",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-22","0.98",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-23","0.48",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-24","0.01",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-25","0.75",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-26","0.01",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-27","0.00",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-28","0.00",",,N",,
"US1AZCN0122","FLAGSTAFF 1.3 NE, AZ US","35.2028","-111.6336","2140.3","2016-12-29","0.00",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-20","0.00",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-21","0.00",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-22","0.96",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-23","0.47",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-24","0.00","T,,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-25","0.68",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-26","0.02",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-27","0.00",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-28","0.00",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-29","0.00",",,N",,
"US1AZCN0111","FLAGSTAFF 3.8 NE, AZ US","35.2232","-111.5953","2107.4","2016-12-30","0.00",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-20","0.00",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-21","0.00",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-22","0.91",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-23","0.43",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-24","0.00","T,,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-25","0.43",",,N","1.0",",,N"
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-26","0.02",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-27","0.00",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-28","0.00",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-29","0.00",",,N",,
"US1AZCN0046","FLAGSTAFF 4.1 NE, AZ US","35.224","-111.5916","2098.9","2016-12-30","0.00",",,N",,
"US1AZCN0134","FLAGSTAFF 2.6 SW, AZ US","35.1647","-111.6831","2113.8","2016-12-22","1.23",",,N",,
"US1AZCN0061","FLAGSTAFF 2.1 SSW, AZ US","35.1632","-111.6667","2119.0","2016-12-20","0.00",",,N",,
"US1AZCN0061","FLAGSTAFF 2.1 SSW, AZ US","35.1632","-111.6667","2119.0","2016-12-21","0.00",",,N",,
"US1AZCN0061","FLAGSTAFF 2.1 SSW, AZ US","35.1632","-111.6667","2119.0","2016-12-22","1.16",",,N",,
"US1AZCN0061","FLAGSTAFF 2.1 SSW, AZ US","35.1632","-111.6667","2119.0","2016-12-23","0.67",",,N",,
"US1AZCN0061","FLAGSTAFF 2.1 SSW, AZ US","35.1632","-111.6667","2119.0","2016-12-24","0.10",",,N",,
"US1AZCN0061","FLAGSTAFF 2.1 SSW, AZ US","35.1632","-111.6667","2119.0","2016-12-27","0.00",",,N",,
"US1AZCN0061","FLAGSTAFF 2.1 SSW, AZ US","35.1632","-111.6667","2119.0","2016-12-29","0.00",",,N",,
"US1AZCN0061","FLAGSTAFF 2.1 SSW, AZ US","35.1632","-111.6667","2119.0","2016-12-30","0.00",",,N",,
"US1AZCN0031","FLAGSTAFF 3.2 E, AZ US","35.1938","-111.5927","2099.5","2016-12-22","1.13",",,N",,
"US1AZCN0031","FLAGSTAFF 3.2 E, AZ US","35.1938","-111.5927","2099.5","2016-12-23","0.47",",,N",,
"US1AZCN0031","FLAGSTAFF 3.2 E, AZ US","35.1938","-111.5927","2099.5","2016-12-25","0.42",",,N","0.6",",,N"
"US1AZCN0031","FLAGSTAFF 3.2 E, AZ US","35.1938","-111.5927","2099.5","2016-12-26","0.00",",,N",,
"US1AZCN0031","FLAGSTAFF 3.2 E, AZ US","35.1938","-111.5927","2099.5","2016-12-27","0.00",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-20","0.00",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-21","0.00",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-22","1.15",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-23","0.65",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-24","0.00","T,,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-25","0.97",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-26","0.01",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-27","0.00",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-28","0.00",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-29","0.00",",,N",,
"US1AZCN0075","FLAGSTAFF 2.1 WSW, AZ US","35.1739","-111.6805","2152.2","2016-12-30","0.00",",,N",,
