"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-05","1.79",",,W","15.0",",,W","21.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-06","3.58",",,W","10.1",",,W","19.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-07","4.47",",,W","14.1",",,W","21.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-08","2.91",",,W","10.1",",,W","23.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-09","3.80",",,W","13.0",",,W","16.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-10","3.36",",,W","12.1",",,W","18.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-11","4.03",",,W","15.0",",,W","21.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-12","5.37",",,W","23.0",",,W","29.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-13","9.84",",,W","21.0",",,W","28.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-14","6.71",",,W","21.0",",,W","25.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-15","3.80",",,W","14.1",",,W","23.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-16","2.46",",,W","13.0",",,W","17.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-17","4.92",",,W","16.1",",,W","23.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-18","3.80",",,W","8.9",",,W","12.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-19","6.49",",,W","14.1",",,W","18.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-20","2.46",",,W","15.0",",,W","19.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-21","2.01",",,W","10.1",",,W","17.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-22","3.80",",,W","13.0",",,W","16.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-23","7.61",",,W","15.0",",,W","18.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-24","5.14",",,W","13.0",",,W","17.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-25","4.25",",,W","14.1",",,W","18.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-26","2.01",",,W","12.1",",,W","19.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-27","2.01",",,W","10.1",",,W","13.0",",,W"
