"AirPtCd","BSS"
"KAAO",0.0979498418937949
"KACY",0.112270874175751
"KAGC",-0.0116884877970515
"KALB",-0.287792573407578
"KAMA",0.0813704625629951
"KANJ",-0.743755551828808
"KART",0.0351507796101274
"KATL",0.133809526269129
"KAVP",-0.2606113801481
"KBAD",0.194200419586358
"KBFI",-0.235025017242896
"KBFM",0.232032576137037
"KBGR",-0.115461937572683
"KBHB",0.0348947215287824
"KBHM",0.235448282539706
"KBIS",-0.262447120078165
"KBJC",-0.285341997811438
"KBKE",0.00417717619163608
"KBKL",0.0360638528792135
"KBNA",0.163050273913053
"KBOI",0.0266106252049166
"KBOS",0.0249410347163883
"KBUF",-0.208622798811967
"KCEF",0.000570302208302612
"KCHS",0.0783413953365271
"KCLT",0.106644187652393
"KCNM",-0.122313982152813
"KCPS",0.15213234868297
"KCQT",0.114310176317271
"KCRW",-0.054218208643982
"KCUB",0.15088020469604
"KCYS",-0.431163362013597
"KDAL",0.216927093624676
"KDBQ",0.0458198080196372
"KDET",-0.23344050897155
"KDLH",-0.891667892384063
"KDMH",0.244273961515993
"KDOV",-0.0804838174020607
"KDSM",-0.26061417857062
"KEED",0.0248627039951305
"KELP",0.0428412839974773
"KEUG",-0.216743327183062
"KEYE",0.0360563425847674
"KEYW",-0.0963448034188454
"KFAR",-0.461839136772015
"KFAT",0.325933252371731
"KFLG",-0.0448689856354762
"KFSD",-0.253946188393526
"KGCK",0.0811411932471728
"KGEG",0.0990661102218783
"KGJT",-0.268422127528327
"KGRR",-0.612192134996934
"KHKS",0.232801695967198
"KHLN",-0.194547025869288
"KHOT",0.149686321818675
"KHQM",-0.388322159902889
"KHVN",0.181851134516019
"KHVR",-0.359056208961029
"KIDA",-0.106209206127481
"KILM",0.0517224345632359
"KLBF",-0.293687417455388
"KLMT",-0.157066237325676
"KLND",-0.133217814902941
"KLNK",-0.21102193864245
"KLUK",0.0625289729647831
"KLWS",-0.00566276917557583
"KMDW",-0.51834664078796
"KMEM",0.150951585216322
"KMHT",0.034391580485751
"KMIA",-0.180407984573089
"KMKC",0.0785148605499819
"KMKE",-0.100098175407148
"KMLF",-0.0666080753820551
"KMPV",-0.268661787788096
"KMSP",-0.0930686297288639
"KMXF",0.22132465631624
"KNEW",-0.259144134124883
"KNIP",0.214740632288609
"KNYC",0.145270451096608
"KOFP",0.120929992986592
"KOLS",0.220263314395936
"KOSU",0.0168064488174053
"KP68",0.0438605704659654
"KPHL",0.0327998260986492
"KPHX",0.0840001318467819
"KPIR",-0.175918796028142
"KPVD",0.00248569541859378
"KPVU",-0.0117841514457086
"KPWM",-0.0493775582039464
"KRDU",0.0282340106629906
"KRNO",-0.00509629483349669
"KROA",-0.0221114276437519
"KSAC",0.0919249912201303
"KSAF",0.165127386038237
"KSAN",-0.0362311231822761
"KSDF",0.0436791475580691
"KSFO",0.0972506508088438
"KSGF",-0.275227531560811
"KSGU",0.0549826404047344
"KSKF",0.173261325421335
"KSLC",-0.148686713912445
"KSMN",-0.0652490257793077
"KSPI",-0.369337270957985
"KSVN",0.0810723178872222
"KSYR",-0.238080165930787
"KTAD",-0.156116589806365
"KTIK",0.196379116090542
"KTPA",0.189036439703944
"KTYS",0.0606229510456636
"KVGT",0.0240239031089387
"KVUO",-0.226430960363198
"PAMR",-0.291778353608055
"PHNL",-0.105665211651516
