"Variable","CleanVar","Region","Importance","Type"
"CloudCover","Cloud Cover","Midwest",1.1126613559644,"Maximum Temperature"
"dist2coast","Dist2Coast","Midwest",0.513615769297081,"Maximum Temperature"
"elevation","Elevation","Midwest",0.807116543299073,"Maximum Temperature"
"lag","Forecast Lag","Midwest",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Midwest",12.0198164175359,"Maximum Temperature"
"Max_Temp","Max Temp","Midwest",3.68960960622362,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Midwest",1.96829250491711,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Midwest",1.90413872708365,"Maximum Temperature"
"Min_DewPoint","Min DP","Midwest",19.0117736323952,"Maximum Temperature"
"Min_Temp","Min Temp","Midwest",6.76780086009954,"Maximum Temperature"
"Min_Vis","Min Vis","Midwest",1.04158862938461,"Maximum Temperature"
"month","Month","Midwest",2.1830912973687,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Midwest",2.22877263096306,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Midwest",10.5653693436838,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Midwest",12.4730994762167,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Midwest",1.97427345997367,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Midwest",4.6947199671664,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Midwest",3.59352558510424,"Maximum Temperature"
"CloudCover","Cloud Cover","Northeast",7.26973765534236,"Maximum Temperature"
"dist2coast","Dist2Coast","Northeast",20.0542939619474,"Maximum Temperature"
"elevation","Elevation","Northeast",3.97423742518474,"Maximum Temperature"
"lag","Forecast Lag","Northeast",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Northeast",19.6995612748647,"Maximum Temperature"
"Max_Temp","Max Temp","Northeast",24.1622149315403,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Northeast",6.1012387964772,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Northeast",6.04920426012451,"Maximum Temperature"
"Min_DewPoint","Min DP","Northeast",16.0295384090684,"Maximum Temperature"
"Min_Temp","Min Temp","Northeast",9.95452531389996,"Maximum Temperature"
"Min_Vis","Min Vis","Northeast",2.64780912674603,"Maximum Temperature"
"month","Month","Northeast",34.1268872921277,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Northeast",8.72539822149842,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Northeast",9.64485721132547,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Northeast",45.8262721075738,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Northeast",14.7163030243525,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Northeast",9.54223216981354,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Northeast",9.08593045109644,"Maximum Temperature"
"CloudCover","Cloud Cover","Southeast",12.2589789556954,"Maximum Temperature"
"dist2coast","Dist2Coast","Southeast",5.26793818525625,"Maximum Temperature"
"elevation","Elevation","Southeast",5.46928356615777,"Maximum Temperature"
"lag","Forecast Lag","Southeast",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Southeast",11.1369732969791,"Maximum Temperature"
"Max_Temp","Max Temp","Southeast",24.9794831292338,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Southeast",6.58185629052557,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Southeast",8.02368594719212,"Maximum Temperature"
"Min_DewPoint","Min DP","Southeast",16.4973909344993,"Maximum Temperature"
"Min_Temp","Min Temp","Southeast",7.86144292140576,"Maximum Temperature"
"Min_Vis","Min Vis","Southeast",1.97582625648539,"Maximum Temperature"
"month","Month","Southeast",7.74015143356546,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Southeast",10.6466224179301,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Southeast",9.34803914002849,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Southeast",55.2757446643227,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Southeast",2.36678251421369,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Southeast",6.90460389931163,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Southeast",13.3124476431164,"Maximum Temperature"
"CloudCover","Cloud Cover","Cali-Florida",12.9086004753026,"Maximum Temperature"
"dist2coast","Dist2Coast","Cali-Florida",41.1049262037619,"Maximum Temperature"
"elevation","Elevation","Cali-Florida",45.9654205256965,"Maximum Temperature"
"lag","Forecast Lag","Cali-Florida",48.3285198598203,"Maximum Temperature"
"Max_DewPoint","Max DP","Cali-Florida",31.7680080018955,"Maximum Temperature"
"Max_Temp","Max Temp","Cali-Florida",10.1394419673682,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Cali-Florida",82.985244221831,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Cali-Florida",66.4612217485652,"Maximum Temperature"
"Min_DewPoint","Min DP","Cali-Florida",29.4990709748657,"Maximum Temperature"
"Min_Temp","Min Temp","Cali-Florida",15.3879480467672,"Maximum Temperature"
"Min_Vis","Min Vis","Cali-Florida",34.789918372948,"Maximum Temperature"
"month","Month","Cali-Florida",5.20101622118557,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Cali-Florida",9.87759783086531,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Cali-Florida",4.43293967025649,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Cali-Florida",100,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Cali-Florida",8.51887507363752,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Cali-Florida",5.96868985441106,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Cali-Florida",14.2172334748092,"Maximum Temperature"
"CloudCover","Cloud Cover","Intermountain West",7.22717329242115,"Maximum Temperature"
"dist2coast","Dist2Coast","Intermountain West",54.2626946273771,"Maximum Temperature"
"elevation","Elevation","Intermountain West",75.3768478706329,"Maximum Temperature"
"lag","Forecast Lag","Intermountain West",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Intermountain West",21.1578076702487,"Maximum Temperature"
"Max_Temp","Max Temp","Intermountain West",6.75547040536379,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Intermountain West",5.60710427232945,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Intermountain West",9.18710161383123,"Maximum Temperature"
"Min_DewPoint","Min DP","Intermountain West",29.8070621006302,"Maximum Temperature"
"Min_Temp","Min Temp","Intermountain West",7.02936381660727,"Maximum Temperature"
"Min_Vis","Min Vis","Intermountain West",11.7012664070047,"Maximum Temperature"
"month","Month","Intermountain West",1.44152456071348,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Intermountain West",20.8504830490287,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Intermountain West",18.8537282297376,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Intermountain West",46.3419937259019,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Intermountain West",7.06587757049784,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Intermountain West",8.69168100908388,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Intermountain West",15.1168764759424,"Maximum Temperature"
"CloudCover","Cloud Cover","Southwest",1.72512680371721,"Maximum Temperature"
"dist2coast","Dist2Coast","Southwest",1.77278867054753,"Maximum Temperature"
"elevation","Elevation","Southwest",1.97581147445881,"Maximum Temperature"
"lag","Forecast Lag","Southwest",100,"Maximum Temperature"
"Max_DewPoint","Max DP","Southwest",3.96224750840008,"Maximum Temperature"
"Max_Temp","Max Temp","Southwest",10.326447249783,"Maximum Temperature"
"Max_Wind_Speed","Max WS","Southwest",3.94449988104728,"Maximum Temperature"
"Mean_Wind_Speed","Mean WS","Southwest",4.74804695966688,"Maximum Temperature"
"Min_DewPoint","Min DP","Southwest",3.19828540693022,"Maximum Temperature"
"Min_Temp","Min Temp","Southwest",9.92764278962153,"Maximum Temperature"
"Min_Vis","Min Vis","Southwest",9.92728718882444,"Maximum Temperature"
"month","Month","Southwest",1.55581395600828,"Maximum Temperature"
"Sd_Max_DewPoint","SD Max DP","Southwest",2.02350198007981,"Maximum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Southwest",21.0114201085779,"Maximum Temperature"
"Sd_Max_Temp","SD Max Temp","Southwest",25.5001026413587,"Maximum Temperature"
"Sd_Min_Humidity","SD Min Hum","Southwest",39.6722785850474,"Maximum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Southwest",3.86234748978341,"Maximum Temperature"
"Sd_Min_Temp","SD Min Temp","Southwest",7.44002758033452,"Maximum Temperature"
"CloudCover","Cloud Cover","Midwest",2.93902520206767,"Minimum Temperature"
"dist2coast","Dist2Coast","Midwest",5.55050948503993,"Minimum Temperature"
"elevation","Elevation","Midwest",6.42065914503684,"Minimum Temperature"
"lag","Forecast Lag","Midwest",58.6966279650172,"Minimum Temperature"
"Max_DewPoint","Max DP","Midwest",11.5322102156709,"Minimum Temperature"
"Max_Temp","Max Temp","Midwest",33.7723240394348,"Minimum Temperature"
"Max_Wind_Speed","Max WS","Midwest",4.46016255925623,"Minimum Temperature"
"Mean_Wind_Speed","Mean WS","Midwest",3.90023359346012,"Minimum Temperature"
"Min_DewPoint","Min DP","Midwest",17.4038365271271,"Minimum Temperature"
"Min_Temp","Min Temp","Midwest",30.9157944147379,"Minimum Temperature"
"Min_Vis","Min Vis","Midwest",3.04745940682464,"Minimum Temperature"
"month","Month","Midwest",1.64989162108229,"Minimum Temperature"
"Sd_Max_DewPoint","SD Max DP","Midwest",10.2529875165663,"Minimum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Midwest",27.4532056252994,"Minimum Temperature"
"Sd_Max_Temp","SD Max Temp","Midwest",16.0720335248985,"Minimum Temperature"
"Sd_Min_Humidity","SD Min Hum","Midwest",3.96647541567099,"Minimum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Midwest",100,"Minimum Temperature"
"Sd_Min_Temp","SD Min Temp","Midwest",82.1054797037959,"Minimum Temperature"
"CloudCover","Cloud Cover","Northeast",10.7675574990063,"Minimum Temperature"
"dist2coast","Dist2Coast","Northeast",11.0905830721891,"Minimum Temperature"
"elevation","Elevation","Northeast",23.776180229179,"Minimum Temperature"
"lag","Forecast Lag","Northeast",2.25147564642931,"Minimum Temperature"
"Max_DewPoint","Max DP","Northeast",14.4533199316634,"Minimum Temperature"
"Max_Temp","Max Temp","Northeast",12.6537319057861,"Minimum Temperature"
"Max_Wind_Speed","Max WS","Northeast",9.07831356732323,"Minimum Temperature"
"Mean_Wind_Speed","Mean WS","Northeast",28.8463306367336,"Minimum Temperature"
"Min_DewPoint","Min DP","Northeast",44.2811425776499,"Minimum Temperature"
"Min_Temp","Min Temp","Northeast",97.713486888875,"Minimum Temperature"
"Min_Vis","Min Vis","Northeast",13.9885897253114,"Minimum Temperature"
"month","Month","Northeast",21.1110197236472,"Minimum Temperature"
"Sd_Max_DewPoint","SD Max DP","Northeast",35.4404985818906,"Minimum Temperature"
"Sd_Max_Sea_Level_Press","SD Max SLP","Northeast",14.9635567070823,"Minimum Temperature"
"Sd_Max_Temp","SD Max Temp","Northeast",8.52055672733731,"Minimum Temperature"
"Sd_Min_Humidity","SD Min Hum","Northeast",5.40357177935374,"Minimum Temperature"
"Sd_Min_Sea_Level_Press","SD Min SLP","Northeast",13.686974213256,"Minimum Temperature"
